,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
64,2.48,Albania1994,,"1,985,673,798",697,Boomers
65,2.48,Albania1994,,"1,985,673,798",697,Generation X
66,2.12,Albania1994,,"1,985,673,798",697,Generation X
67,1.53,Albania1994,,"1,985,673,798",697,Boomers
68,0.58,Albania1994,,"1,985,673,798",697,Boomers
69,0.57,Albania1994,,"1,985,673,798",697,Silent
70,0.27,Albania1994,,"1,985,673,798",697,Millenials
71,0.0,Albania1994,,"1,985,673,798",697,Millenials
72,5.58,Albania1995,0.619,"2,424,499,009",835,Generation X
73,5.06,Albania1995,0.619,"2,424,499,009",835,Silent
74,4.9,Albania1995,0.619,"2,424,499,009",835,G.I. Generation
75,4.59,Albania1995,0.619,"2,424,499,009",835,Generation X
76,4.56,Albania1995,0.619,"2,424,499,009",835,Generation X
77,3.98,Albania1995,0.619,"2,424,499,009",835,G.I. Generation
78,3.72,Albania1995,0.619,"2,424,499,009",835,Boomers
79,2.65,Albania1995,0.619,"2,424,499,009",835,Generation X
80,2.24,Albania1995,0.619,"2,424,499,009",835,Boomers
81,1.59,Albania1995,0.619,"2,424,499,009",835,Millenials
82,1.11,Albania1995,0.619,"2,424,499,009",835,Silent
83,0.57,Albania1995,0.619,"2,424,499,009",835,Millenials
84,7.87,Albania1996,,"3,314,898,292",1127,G.I. Generation
85,6.98,Albania1996,,"3,314,898,292",1127,Generation X
86,5.95,Albania1996,,"3,314,898,292",1127,Generation X
87,5.56,Albania1996,,"3,314,898,292",1127,Generation X
88,4.85,Albania1996,,"3,314,898,292",1127,G.I. Generation
89,3.73,Albania1996,,"3,314,898,292",1127,Generation X
90,3.16,Albania1996,,"3,314,898,292",1127,Boomers
91,2.49,Albania1996,,"3,314,898,292",1127,Boomers
92,1.67,Albania1996,,"3,314,898,292",1127,Silent
93,0.55,Albania1996,,"3,314,898,292",1127,Silent
94,0.53,Albania1996,,"3,314,898,292",1127,Millenials
95,0.28,Albania1996,,"3,314,898,292",1127,Millenials
96,15.25,Albania1997,,"2,359,903,108",793,Generation X
97,13.5,Albania1997,,"2,359,903,108",793,Generation X
98,11.81,Albania1997,,"2,359,903,108",793,G.I. Generation
99,7.88,Albania1997,,"2,359,903,108",793,Boomers
100,7.14,Albania1997,,"2,359,903,108",793,Generation X
101,6.66,Albania1997,,"2,359,903,108",793,Silent
102,5.84,Albania1997,,"2,359,903,108",793,Generation X
103,4.75,Albania1997,,"2,359,903,108",793,G.I. Generation
104,1.89,Albania1997,,"2,359,903,108",793,Boomers
105,1.66,Albania1997,,"2,359,903,108",793,Millenials
106,1.05,Albania1997,,"2,359,903,108",793,Millenials
107,0.0,Albania1997,,"2,359,903,108",793,Silent
108,11.63,Albania1998,,"2,707,123,772",899,G.I. Generation
109,10.85,Albania1998,,"2,707,123,772",899,Generation X
110,10.83,Albania1998,,"2,707,123,772",899,Generation X
111,10.82,Albania1998,,"2,707,123,772",899,Generation X
112,7.47,Albania1998,,"2,707,123,772",899,Boomers
113,4.9,Albania1998,,"2,707,123,772",899,Silent
114,3.63,Albania1998,,"2,707,123,772",899,Generation X
115,3.19,Albania1998,,"2,707,123,772",899,Silent
116,2.42,Albania1998,,"2,707,123,772",899,Boomers
117,0.51,Albania1998,,"2,707,123,772",899,Millenials
118,0.27,Albania1998,,"2,707,123,772",899,Millenials
119,0.0,Albania1998,,"2,707,123,772",899,G.I. Generation
120,11.58,Albania1999,,"3,414,760,915",1127,G.I. Generation
121,9.58,Albania1999,,"3,414,760,915",1127,Generation X
122,9.43,Albania1999,,"3,414,760,915",1127,G.I. Generation
123,7.93,Albania1999,,"3,414,760,915",1127,Boomers
124,7.84,Albania1999,,"3,414,760,915",1127,Generation X
125,7.56,Albania1999,,"3,414,760,915",1127,Silent
126,6.4,Albania1999,,"3,414,760,915",1127,Generation X
127,4.7,Albania1999,,"3,414,760,915",1127,Generation X
128,3.18,Albania1999,,"3,414,760,915",1127,Silent
129,1.34,Albania1999,,"3,414,760,915",1127,Boomers
130,0.27,Albania1999,,"3,414,760,915",1127,Millenials
131,0.0,Albania1999,,"3,414,760,915",1127,Millenials
132,7.33,Albania2000,0.656,"3,632,043,908",1299,Generation X
133,5.64,Albania2000,0.656,"3,632,043,908",1299,Silent
134,5.29,Albania2000,0.656,"3,632,043,908",1299,G.I. Generation
135,4.02,Albania2000,0.656,"3,632,043,908",1299,G.I. Generation
136,2.27,Albania2000,0.656,"3,632,043,908",1299,Generation X
137,2.08,Albania2000,0.656,"3,632,043,908",1299,Generation X
138,1.51,Albania2000,0.656,"3,632,043,908",1299,Boomers
139,1.22,Albania2000,0.656,"3,632,043,908",1299,Generation X
140,1.07,Albania2000,0.656,"3,632,043,908",1299,Boomers
141,0.27,Albania2000,0.656,"3,632,043,908",1299,Millenials
142,0.0,Albania2000,0.656,"3,632,043,908",1299,Millenials
143,0.0,Albania2000,0.656,"3,632,043,908",1299,Silent
144,10.65,Albania2001,,"4,060,758,804",1451,Generation X
145,8.98,Albania2001,,"4,060,758,804",1451,Boomers
146,5.59,Albania2001,,"4,060,758,804",1451,Silent
147,4.23,Albania2001,,"4,060,758,804",1451,Silent
148,3.91,Albania2001,,"4,060,758,804",1451,Millenials
149,3.32,Albania2001,,"4,060,758,804",1451,Millenials
150,3.24,Albania2001,,"4,060,758,804",1451,Boomers
151,3.22,Albania2001,,"4,060,758,804",1451,Silent
152,3.16,Albania2001,,"4,060,758,804",1451,Silent
153,1.87,Albania2001,,"4,060,758,804",1451,Millenials
154,1.8,Albania2001,,"4,060,758,804",1451,Generation X
155,0.65,Albania2001,,"4,060,758,804",1451,Millenials
156,12.9,Albania2002,,"4,435,078,648",1573,Silent
157,11.15,Albania2002,,"4,435,078,648",1573,Generation X
158,9.16,Albania2002,,"4,435,078,648",1573,Boomers
159,6.56,Albania2002,,"4,435,078,648",1573,Silent
160,5.7,Albania2002,,"4,435,078,648",1573,Millenials
161,5.07,Albania2002,,"4,435,078,648",1573,Millenials
162,4.0,Albania2002,,"4,435,078,648",1573,Boomers
163,3.13,Albania2002,,"4,435,078,648",1573,Generation X
164,2.11,Albania2002,,"4,435,078,648",1573,Silent
165,2.09,Albania2002,,"4,435,078,648",1573,Silent
166,0.33,Albania2002,,"4,435,078,648",1573,Millenials
167,0.31,Albania2002,,"4,435,078,648",1573,Millenials
168,12.22,Albania2003,,"5,746,945,913",2021,Silent
169,7.94,Albania2003,,"5,746,945,913",2021,Silent
170,7.25,Albania2003,,"5,746,945,913",2021,Boomers
171,5.49,Albania2003,,"5,746,945,913",2021,Millenials
172,4.93,Albania2003,,"5,746,945,913",2021,Millenials
173,4.6,Albania2003,,"5,746,945,913",2021,Silent
174,4.38,Albania2003,,"5,746,945,913",2021,Generation X
175,4.04,Albania2003,,"5,746,945,913",2021,Generation X
176,3.41,Albania2003,,"5,746,945,913",2021,Boomers
177,3.06,Albania2003,,"5,746,945,913",2021,Silent
178,1.28,Albania2003,,"5,746,945,913",2021,Millenials
179,0.0,Albania2003,,"5,746,945,913",2021,Millenials
180,11.26,Albania2004,,"7,314,865,176",2544,Silent
181,9.95,Albania2004,,"7,314,865,176",2544,Boomers
182,7.85,Albania2004,,"7,314,865,176",2544,Generation X
183,6.84,Albania2004,,"7,314,865,176",2544,Millenials
184,6.63,Albania2004,,"7,314,865,176",2544,Millenials
185,5.89,Albania2004,,"7,314,865,176",2544,Silent
186,4.95,Albania2004,,"7,314,865,176",2544,Generation X
187,4.83,Albania2004,,"7,314,865,176",2544,Silent
188,4.34,Albania2004,,"7,314,865,176",2544,Boomers
189,1.47,Albania2004,,"7,314,865,176",2544,Silent
190,1.05,Albania2004,,"7,314,865,176",2544,Millenials
191,0.33,Albania2004,,"7,314,865,176",2544,Millenials
192,0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials
193,0.0,Albania2005,0.695,"8,158,548,717",2931,Generation X
194,0.0,Albania2005,0.695,"8,158,548,717",2931,Boomers
195,0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials
196,0.0,Albania2005,0.695,"8,158,548,717",2931,Silent
197,0.0,Albania2005,0.695,"8,158,548,717",2931,Silent
198,0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials
199,0.0,Albania2005,0.695,"8,158,548,717",2931,Generation X
200,0.0,Albania2005,0.695,"8,158,548,717",2931,Boomers
201,0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials
202,0.0,Albania2005,0.695,"8,158,548,717",2931,Silent
203,0.0,Albania2005,0.695,"8,158,548,717",2931,Silent
204,0.0,Albania2006,,"8,992,642,349",3235,Millenials
205,0.0,Albania2006,,"8,992,642,349",3235,Generation X
206,0.0,Albania2006,,"8,992,642,349",3235,Boomers
207,0.0,Albania2006,,"8,992,642,349",3235,Millenials
208,0.0,Albania2006,,"8,992,642,349",3235,Silent
209,0.0,Albania2006,,"8,992,642,349",3235,Silent
210,0.0,Albania2006,,"8,992,642,349",3235,Millenials
211,0.0,Albania2006,,"8,992,642,349",3235,Generation X
212,0.0,Albania2006,,"8,992,642,349",3235,Boomers
213,0.0,Albania2006,,"8,992,642,349",3235,Millenials
214,0.0,Albania2006,,"8,992,642,349",3235,Silent
215,0.0,Albania2006,,"8,992,642,349",3235,Silent
216,18.88,Albania2007,,"10,701,011,897",3863,Silent
217,7.66,Albania2007,,"10,701,011,897",3863,Boomers
218,6.25,Albania2007,,"10,701,011,897",3863,Silent
219,5.23,Albania2007,,"10,701,011,897",3863,Silent
220,5.22,Albania2007,,"10,701,011,897",3863,Generation X
221,4.63,Albania2007,,"10,701,011,897",3863,Millenials
222,4.51,Albania2007,,"10,701,011,897",3863,Millenials
223,4.36,Albania2007,,"10,701,011,897",3863,Generation X
224,4.07,Albania2007,,"10,701,011,897",3863,Silent
225,3.57,Albania2007,,"10,701,011,897",3863,Boomers
226,1.47,Albania2007,,"10,701,011,897",3863,Generation Z
227,0.0,Albania2007,,"10,701,011,897",3863,Generation Z
228,12.15,Albania2008,,"12,881,352,688",4672,Generation X
229,9.81,Albania2008,,"12,881,352,688",4672,Boomers
230,9.18,Albania2008,,"12,881,352,688",4672,Silent
231,8.42,Albania2008,,"12,881,352,688",4672,Silent
232,7.24,Albania2008,,"12,881,352,688",4672,Millenials
233,4.93,Albania2008,,"12,881,352,688",4672,Generation X
234,4.82,Albania2008,,"12,881,352,688",4672,Boomers
235,4.49,Albania2008,,"12,881,352,688",4672,Silent
236,3.84,Albania2008,,"12,881,352,688",4672,Millenials
237,3.09,Albania2008,,"12,881,352,688",4672,Silent
238,2.67,Albania2008,,"12,881,352,688",4672,Generation Z
239,0.41,Albania2008,,"12,881,352,688",4672,Generation Z
240,0.0,Albania2009,,"12,044,212,904",4387,Millenials
241,0.0,Albania2009,,"12,044,212,904",4387,Generation X
242,0.0,Albania2009,,"12,044,212,904",4387,Boomers
243,0.0,Albania2009,,"12,044,212,904",4387,Generation Z
244,0.0,Albania2009,,"12,044,212,904",4387,Silent
245,0.0,Albania2009,,"12,044,212,904",4387,Silent
246,0.0,Albania2009,,"12,044,212,904",4387,Millenials
247,0.0,Albania2009,,"12,044,212,904",4387,Generation X
248,0.0,Albania2009,,"12,044,212,904",4387,Boomers
249,0.0,Albania2009,,"12,044,212,904",4387,Generation Z
250,0.0,Albania2009,,"12,044,212,904",4387,Silent
251,0.0,Albania2009,,"12,044,212,904",4387,Silent
252,8.27,Albania2010,0.722,"11,926,953,259",4359,Silent
253,5.38,Albania2010,0.722,"11,926,953,259",4359,Generation X
254,5.01,Albania2010,0.722,"11,926,953,259",4359,Generation X
255,3.94,Albania2010,0.722,"11,926,953,259",4359,Silent
256,3.58,Albania2010,0.722,"11,926,953,259",4359,Millenials
257,3.27,Albania2010,0.722,"11,926,953,259",4359,Generation X
258,3.1,Albania2010,0.722,"11,926,953,259",4359,Silent
259,3.04,Albania2010,0.722,"11,926,953,259",4359,Generation X
260,2.9,Albania2010,0.722,"11,926,953,259",4359,Silent
261,2.28,Albania2010,0.722,"11,926,953,259",4359,Millenials
262,0.89,Albania2010,0.722,"11,926,953,259",4359,Generation Z
263,0.0,Albania2010,0.722,"11,926,953,259",4359,Generation Z
264,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
265,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Boomers
266,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Silent
267,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
268,0.0,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
269,0.0,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
270,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
271,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Boomers
272,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Silent
273,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
274,0.0,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
275,0.0,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
276,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Generation X
277,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Boomers
278,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Silent
279,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Generation X
280,0.0,Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
281,0.0,Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
282,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Generation X
283,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Boomers
284,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Silent
285,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Generation X
286,0.0,Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
287,0.0,Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
288,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Generation X
289,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Boomers
290,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Silent
291,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Generation X
292,0.0,Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
293,0.0,Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
294,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Generation X
295,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Boomers
296,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Silent
297,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Generation X
298,0.0,Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
299,0.0,Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
300,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Generation X
301,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Boomers
302,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Silent
303,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Generation X
304,0.0,Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
305,0.0,Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
306,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Generation X
307,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Boomers
308,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Silent
309,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Generation X
310,0.0,Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
311,0.0,Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
312,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Generation X
313,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Boomers
314,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Silent
315,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Generation X
316,0.0,Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
317,0.0,Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
318,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Generation X
319,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Boomers
320,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Silent
321,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Generation X
322,0.0,Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
323,0.0,Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
324,17.24,Antigua and Barbuda1990,,"459,469,074",7744,Silent
325,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Generation X
326,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Boomers
327,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Silent
328,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Generation X
329,0.0,Antigua and Barbuda1990,,"459,469,074",7744,G.I. Generation
330,0.0,Antigua and Barbuda1990,,"459,469,074",7744,G.I. Generation
331,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Generation X
332,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Boomers
333,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Generation X
334,0.0,Antigua and Barbuda1990,,"459,469,074",7744,G.I. Generation
335,0.0,Antigua and Barbuda1990,,"459,469,074",7744,G.I. Generation
336,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Generation X
337,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Boomers
338,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Boomers
339,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Millenials
340,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Silent
341,0.0,Antigua and Barbuda1991,,"481,706,333",7976,G.I. Generation
342,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Generation X
343,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Boomers
344,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Boomers
345,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Millenials
346,0.0,Antigua and Barbuda1991,,"481,706,333",7976,Silent
347,0.0,Antigua and Barbuda1991,,"481,706,333",7976,G.I. Generation
348,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Generation X
349,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Boomers
350,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Boomers
351,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Millenials
352,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Silent
353,0.0,Antigua and Barbuda1992,,"499,281,148",8087,G.I. Generation
354,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Generation X
355,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Boomers
356,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Boomers
357,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Millenials
358,0.0,Antigua and Barbuda1992,,"499,281,148",8087,Silent
359,0.0,Antigua and Barbuda1992,,"499,281,148",8087,G.I. Generation
360,15.0,Antigua and Barbuda1993,,"535,172,778",8453,Boomers
361,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Generation X
362,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Boomers
363,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Boomers
364,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Millenials
365,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Silent
366,0.0,Antigua and Barbuda1993,,"535,172,778",8453,G.I. Generation
367,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Generation X
368,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Boomers
369,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Millenials
370,0.0,Antigua and Barbuda1993,,"535,172,778",8453,Silent
371,0.0,Antigua and Barbuda1993,,"535,172,778",8453,G.I. Generation
372,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Generation X
373,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Boomers
374,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Boomers
375,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Millenials
376,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Silent
377,0.0,Antigua and Barbuda1994,,"589,429,593",9062,G.I. Generation
378,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Generation X
379,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Boomers
380,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Boomers
381,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Millenials
382,0.0,Antigua and Barbuda1994,,"589,429,593",9062,Silent
383,0.0,Antigua and Barbuda1994,,"589,429,593",9062,G.I. Generation
384,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Generation X
385,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Generation X
386,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Boomers
387,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Millenials
388,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Silent
389,0.0,Antigua and Barbuda1995,,"577,280,741",8636,G.I. Generation
390,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Generation X
391,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Generation X
392,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Boomers
393,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Millenials
394,0.0,Antigua and Barbuda1995,,"577,280,741",8636,Silent
395,0.0,Antigua and Barbuda1995,,"577,280,741",8636,G.I. Generation
396,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Generation X
397,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Generation X
398,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Boomers
399,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Millenials
400,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Silent
401,0.0,Antigua and Barbuda1998,,"727,860,593",10078,G.I. Generation
402,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Generation X
403,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Generation X
404,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Boomers
405,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Millenials
406,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Silent
407,0.0,Antigua and Barbuda1998,,"727,860,593",10078,G.I. Generation
408,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Generation X
409,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Generation X
410,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Boomers
411,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Millenials
412,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Silent
413,0.0,Antigua and Barbuda1999,,"766,198,926",10378,G.I. Generation
414,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Generation X
415,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Generation X
416,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Boomers
417,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Millenials
418,0.0,Antigua and Barbuda1999,,"766,198,926",10378,Silent
419,0.0,Antigua and Barbuda1999,,"766,198,926",10378,G.I. Generation
420,30.0,Antigua and Barbuda2000,,"830,158,778",11021,Silent
421,9.97,Antigua and Barbuda2000,,"830,158,778",11021,Boomers
422,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Generation X
423,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Generation X
424,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Boomers
425,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Millenials
426,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Silent
427,0.0,Antigua and Barbuda2000,,"830,158,778",11021,G.I. Generation
428,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Generation X
429,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Generation X
430,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Millenials
